SHIPPER ACCOUNT NUMBER,SHIPPER ACCOUNT NAME,SHIPPER COMPANY NAME,SHIPPER ADDRESS,SHIPPER CONTACT PERSON,SHIPPER CONTACT NUMBER
,Expedia Solution Specialist Incorporated,Expedia Solution Specialist Incorporated,"Room 233 and 235, Citiland Pasong Tamo, 6364, Chino Roces Avenue, Makati, 1200 Metro Manil",Jonathan Sta.Ana,0906-6255722/LANDLINE750 5168
,Extraordinary Group of Companies c/o Earth and Style,Extraordinary Group of Companies c/o Earth and Style,"41/F Joy Nostalg Center,# 17 ADB Avenue Pasig City",Ms.Mae,638-3737 to 41 loc 800
,FAIR BRIGHT,FAIR BRIGHT,"G/F ALFARO BLDG., LG29 LEVISTE ST., SALCEDO VILLAGE, MAKATI CITY",Ms.Almera,892-3671/ 812-2765/ 815-9331
,Falcon Water Free Phils. Inc.,Falcon Water Free Phils. Inc.,"G/F Unique Plaza Bldg., 56 Sierra Madre St., Highway Hills, Mandaluyong City",Ms. Joy,477-6036
,"Far East Broadcasting Company, Phils.","Far East Broadcasting Company, Phils.","34/F Antel Global Corporate Center Julia Vargas Avenue, Ortigas Center, Pasig",Ellen Fernandez,5704345
,FILA Philippines,FILA Philippines,21 Floor 139 Corporate Bldg. Valero St Salcedo Village Makati City,Naren Soledad,801-6423/EVERY FRIDAY
,Fil-HR Manpower Agency,Fil-HR Manpower Agency,1251 David Salon Bldg. Cardonia St.J.P.Rizal Ave. makati City,None,511-9994/898-1818
,FILIPINA CLIMATE SOLUTION INC,FILIPINA CLIMATE SOLUTION INC,JMP Bldg. Jose Cruz st. Bo. Ugong Pasig City/ OUTSIDE,Sir Fred,671-2781 /671-7476/ 672-3697 loc. 323/MS ANA MAY COLLECTION
,FILIPINO HERITAGE FESTIVAL,FILIPINO HERITAGE FESTIVAL,Filipino Heritage Festival Inc. G/F Museum of the Filipino People Valencia Circle Luneta Manila,Mai Bautista,523-96-92
,FILSCAP,FILSCAP,No. 140 Scout Rallos Street Brgy. Sacred Heart Quezon City/ SOUTH,Ms.Maan,415-6277
,FIL-STAR MARITIME CORPORATION,FIL-STAR MARITIME CORPORATION,"Sankoline Bldg.,1631 San Marcelino Malate Manila/ SOUTH",Arliza,523-5659
,First Advance devt Corp. c/o Earth,First Advance devt Corp. c/o Earth,"Ciudad Nuevo, Timalan Naic, Cavite c/o Earth",Imelda Inacay,854-3734 follow up 852-32-14 loc 403 ms Elsie/COLLECTION 852*32*02 LOC 4232-LOOK ENAH MORENA ACCTMG
,FIRST OPTION ELECTRONICS SYSTEM PHILS. INC.,FIRST OPTION ELECTRONICS SYSTEM PHILS. INC.,"No. 3 2nd Street., Dona Juliana II Subdivision Brgy Sta Lucia Ortigas Exit. Pasig City",Ms. Sol or Ms. Saira,501-4970/950-7545
,Five Lakes Consulting Services Inc.,Five Lakes Consulting Services Inc.,"Rm203 Pacific Center Bldg.,San Miguel Ave.Ortigas Center Pasig/ INSIDE-SOUTH",Shura Ortiz,477-6704
,FLG MANAGEMENT AND DEVELOPMENT CORP,FLG MANAGEMENT AND DEVELOPMENT CORP,"515 BUENDIA AVE., NORTH FORBES, MAKATI CITY",Felipe Gozon,NONE
,FLUID SOLUTIONS INCOPORATED,FLUID SOLUTIONS INCOPORATED,Unit 812 AIC Burgundy Empire Tower ADB Avenue Cor Saphire And Garnet Road Ortigas Pasig City ,Sander Holgado,0917-8949156/0917-8949159/696-7120
,Forevergreen Marketing Corp.,Forevergreen Marketing Corp.,"Unit 1103 11th Floor AIC Burgundy Tower ADB Ave cor Gernette Road Ortigas Ctr, Pasig/ INSIDE-NORTH",Jedidiah De Jesus,0929-7703972/ 5847949
,Foundation For Enterprise Management Innovation (FEMI),Foundation For Enterprise Management Innovation (FEMI),No.29 A Magat Salamat St. Proj.4 Quezon City,Mevilin Rocina,911-1019
,Foxlane Logistics Corp.,Foxlane Logistics Corp.,"Room 610-B Pacific Center Building # 460 Quintin Paredes Street Corner Sabino Padilla Street, Binond",None,241-8270/557-7106/579-0243-vivian
,Fuelco Ventures Inc.,Fuelco Ventures Inc.,"3F Avant Building,No.48 Jupiter Street Bel Air Makati City(back of Herbalife",Joe Guerrero,New-8133008
,"Fuji Oil ( Philippines),Inc.","Fuji Oil ( Philippines),Inc.",16/F Oledan Square Bldg.6788 Ayala Avenue Makati City/ LEGASPI,Franco,478-5778-81
,FUJITSU PHILS INC,FUJITSU PHILS INC,"Ground Floor, United Life Building, Arnaiz St., Legaspi Village, Makati City",Ms. Bless Borromeo,"thur. follow-up: 870-34-00 LOC. 517, 841-8488 FOR COLLECTIONS MAIN"
,FUJIXEROX PHIL.,FUJIXEROX PHIL.,"2F AAI Worldwide Logistics KM 20 Villongco Corner West Service Road, Brgy Sucat, Muntinlupa City",Alvin Isidro,5197519-Collection
,G888,G888,"1349 Rizal Avenue, Sta Cruz, Manila( near Bambang LRT)/ NORTH",Gene Francis Khu Jr.,710-2410-09178144343/francis
,GA Jaocson & Company,GA Jaocson & Company,"7/F Cityland #807 Shaw Blvd Tower, Mandaluyong City",None,6315115
,GAC PHILIPPINES INC.,GAC PHILIPPINES INC.,7th Floor F& M Lopez Bldg.II 109 Palanca St. Legaspi Village Makati City,Brian Aquino,Trunk: +632 8922713 loc. 239 | Fax: +632 812 0544/ +63 812 1613 | Mobile: +63 918 8922719
,GALOC PRODUCTION COMPANY,GALOC PRODUCTION COMPANY,4th Flr. Zaragoza Bldg. 102 Gamboa St. Legaspi Village Makati,,COLLECTION: 773-2700/Follow Up Tue and thur.
,Gaylan Technologies,Gaylan Technologies,"15 VCGT Complex, Amang Rodriguez avenue, Manggahan Pasig City",Jaypee Gutierrez,915-8725 -27
,Geenger Communication,Geenger Communication,Unit 404 4/F METROSTAR BLDG. METROPOLITAN AVE BRGY STA.CRUZ MAKATI,Sir.Jeffrey,728 01 12
,GENSERVE INTL. INC,GENSERVE INTL. INC,"Unit 302 Global Tower Gen.Mascardo St.,cor. M.Reyes St. Bangkal Makati City",Ms.Ivy,"887-81-37, 8452818"
,Gets International,Gets International,"#953-A G. Apacible St., Ermita, Manila",Geoffrey Chung,New No. 310-2118- 0917-5533971- (Collection:310-2118 Loc. 102)-19/3100120
,GETZ PHARMA(PHILS.) INC,GETZ PHARMA(PHILS.) INC,"new add: 2/F Tower 1 Building Rockwell Business Center, Ortigas Ave. pasig(in between Meralco and Me",Fred Udtohan,new661-4723(02) 638-6540 to 44 (loc 143 acctng.) NEW TRUNKLINE 661-47-23 loc 6047
,Gigi Azarcon,Gigi Azarcon,Unit 619 Peridot Bldg. Verawood Residences Acacia States Taguig City,Gigi Azarcon,09999977499/8977269/866-5799
,GLOBAL CRITICARE INC.,GLOBAL CRITICARE INC.,29/F Antel Global Corp. Ctr. D.J. Vargas Ortigas Pasig City,Vhan Alvarez,687-7888 loc. 752 loc. 773 for finance
,GLOBAL MARITIME,GLOBAL MARITIME,NO. 14 GLOBAL BUILDING BATASAN HILLS QUEZON CITY,None,112222
,Global Marketing,Global Marketing,"Suite 621 6/F Heliconia tower , Tivoli Gardens 69 Colorado street Hulo 1550 Mandaluyong City",Boris Booroff,916-7565 local 8042
,Global Medical Solutions Incorporated,Global Medical Solutions Incorporated,"3rd Floor RTS Building 14 Economia Street., Bagumbayan Quezon City",Jesica Valencia,633-2051 to 53 Local 117/0917-8103874
,Global Medical Technologies,Global Medical Technologies,708F Aurora Blvd. Quezon City 1112,Manny drueco,985-2302/ 0917 845 83 44
,GLOWATENG CORPORATION,GLOWATENG CORPORATION,"6/F Richville Corporate Center, Commerce Ave. Extension,MBP, Alabang, Muntinlupa City",Melba Fernando,809-5073
,Go Fit & Glow,Go Fit & Glow,G/F RFC Mall Zapote Rd. Las Piñas City,Leri Yparraguirre,none
,GO88 VENTURES INC.,GO88 VENTURES INC.,UNIT 2006 ROBINSONS EQUITABLE TOWER ADB ORTIGAS CTR. PASIG CITY/ INSIDE-NORTH,Mary Joyce Juan,09067722807/535-5204
,GODO PHILIPPINES INC.,GODO PHILIPPINES INC.,Room 6A Westgate Tower Madrigal Business Park Ayala Alabang Muntinlupa City,Lily Iyaya,842-6842
,Golden Dragon Metal Products,Golden Dragon Metal Products,285 J. Rizal St. Mandaluyong City,Jansen Gardose,531-8471 / 5318204
,Goldenrey Direct Marketing (Times Magazine),Goldenrey Direct Marketing (Times Magazine),"1005 10f Cityland 10 Tower 2 HV Dela Costa St,. Salcedo Village Makati City",Rey Ignes,403-5030/553-2023/ 840-0759
,GOPRO Philippines Ltd.-Philippine Branch,GOPRO Philippines Ltd.-Philippine Branch,9/F NET SQAURE BLDG.3RD AVE.COR.2881 BGC taguig/ INSIDE,None,667-0518
,Great Leap Training and Consultancy Service,Great Leap Training and Consultancy Service,"Unit 302 PBB Corp.Center 3F,Finance Ave. MBP, Muntinlupa City",Sally,850-9825/ fax 850-6864
,GREAT MINDS INTEGRATED CONSULTANCY,GREAT MINDS INTEGRATED CONSULTANCY,"Unit 713 7th Flr. Pioneer Highlands, North Podium Pioneer Corporate Ctr. Pioneer St., Mandaluyong City",Lajemir Joseph Siman,477-7533 / 468-9004 Mobile:+639778451216/ FFUP 942-2232 MS GRACE/ACCTG
,GREPCOR,GREPCOR,14 3rd Street New Manila Quezon City,Michelle,410-76-46
,Groovin Tags,Groovin Tags,No. 7 Eleven Jamboree cor. Scout Fuentebella Sacred Heart Quezon City,Nerizza,411-7341/3822310 (373-0445)
,Groupon Philippines,Groupon Philippines,2241 Chino Roces Ave. 1D La Fuerza Plaza Makati City,Karla Calinawan,6236313
,Gryffon Courier,Gryffon Courier,1060 Tomas Mapua st. cor Fugoso st. sta. Cruz Manila,Eugene Torres,9162308007
,GURANGO SOFTWARE CORP.,GURANGO SOFTWARE CORP.,"2/F Topys Bldg., Industria cor. Ecomiya St., Bagumbayan, Libis, Quezon City/ EAST",Cherry,637-0928 (THUR AFT.) 103/GRACE
,HALCHEM INDUSTRIAL SALES INC,HALCHEM INDUSTRIAL SALES INC,#107 Edison AVe. Luis Marquez St. Merville Paranaque,Ms.Rose,776 1956 / 823-0427
,HANKOOK AIR SERVICES,HANKOOK AIR SERVICES,"Unit 101 Ledemaine Condo 104 Tordesillas St.,Salcedo Village Makati City",Jane,8174433/ 817-5344
,Happyhead ,Happyhead ,#1852 Asuncion St.Brgy. Valenzuela Santiago Village Reposo Makati City,Cris/Olive,899-3226 (TH-FOLLOW UP)
,HAPPYHEAD- Warehouse,HAPPYHEAD- Warehouse,"#3 Felix baez St., (Formerly Daang Hari) Km. 16 East service Road Paranaque City",Mr. Genesis,887-2337
,Harrison Profile,Harrison Profile,Unit 8-I Cacho-Gonzales Bldg. 101 Aguirre St. Legaspi Village Makati City,Jeffrey,8139045
,HERBALIFE PHILIPPINES,HERBALIFE PHILIPPINES,"26/F The Trade & Financial Tower, 7th ave., Corner 32nd St., BGC, Taguig City",None,555-2828
,HERBALIFE-TINA ONG,HERBALIFE-TINA ONG,"New Address: Room 2A #2113 Singalong St., corner San Andres, Manila/ SOUTH",Ham Ortena,515-0550
,HIBA INTERNATIONAL INC,HIBA INTERNATIONAL INC,Room 402 L&S Building 1414 Roxas Blvd. Ermita Manila,Mardy,536-2183
,"HIGER HOLDINGS, INC.","HIGER HOLDINGS, INC.",RM. 404 GREENBELT MANSION 106 PEREA ST LEGASPI VILLAGE SAN LORENZON MAKATI CITY,None,NONE
,HLN PHILIPPINES TRADING,HLN PHILIPPINES TRADING,2/F Skyland Condominium 2302 Sen. Gil Puyat Avenue Makati City,Ms. Tess,0926-7266317/8170712
,Honda Cars Phils,Honda Cars Phils,#1 President Sergio Osmena Highway Magallanes Commercial Center Makati City.,Belle Reynaldo,"902-9314 / 15 FOR COLLECTIONS ALABANG 902-9458 LOOK FOR KYLA, JENNY OR YSA"
,Hotel 101 Management Corporation,Hotel 101 Management Corporation,"10th Floor Tower 1 Double Dragon DD Meridian Plaza, Macapagal Blvd corner EDSA extn. Pasay City.",Mr. Andrew Estrada,0917 775 7530
,H-STAR ENTERPRISES,H-STAR ENTERPRISES,2/F #88 Shaw blvd Brgy. Oranbo Pasig City/ OUTSIDE,Janice,633-9125
,HSY PHARMA CORP,HSY PHARMA CORP,Tandang Sora 37 B.Red St. Apocar Subd.Tandang Sora Quezon/ NORTH,Ms Joy Kuh,930-0575
,HUMAN RESOURCE SOLUTIONS INC. ,HUMAN RESOURCE SOLUTIONS INC. ,9710 Kamagong Street San Antonio Village Makati City/ WEST,Ms. Lee Ydel,899-2527 press 1 for collection
,HWRU(Health Well-being Resource Unlimited),HWRU(Health Well-being Resource Unlimited),Unit 1809 Herrera Tower VA Rufino Cor. Valero St. Salcedo Village Makati City,Sab,840-5326/845-0861
,I-BRIDGE,I-BRIDGE,18F Hanstone Square Bldg.17 San Miguel Ave.Ortias Cente Pasig City,Tony De Guzman,477-0223/4770877
,ICI MINISTRIES,ICI MINISTRIES,2909 Raffles Corp. Center F. Ortigas Jr. Ave. Ortigas Center Pasig CIty,Nimfa,914-9800
,I-Fit,I-Fit,LG 11 CITY AND LAND MEGAPLAZA GARNET ROAD ORTIGAS PASIG/ INSIDE-NORTH,Marife Tanauan,09057391415/Jelly
,Imagenet Phils. Incorporated,Imagenet Phils. Incorporated,14/F Valero Tower Valero St. Salcedo Village Makati City,Caryll,889-8248/09175136048/ NEW: 555-0166
,INDOPHIL SERVICES INTL. PTY.LTD ,INDOPHIL SERVICES INTL. PTY.LTD ,"NEW ADDRESS : 8th Floor, Philcom Bldg. Paseo de Roxas, Makati City",Bambi,7521440
,Infinity Support,Infinity Support,32nd Floor One Corporate Center JUlia Vargas cor. Meralco Ave. Pasig/ INSIDE-SOUTH,Nica Linawag,916-7565 local 8042
,Infra Machiniries,Infra Machiniries,24 Mindanao Avenue Ext. Tandang Sora Quezon City,None,983-4120
,Infratex Environmental Services Inc.,Infratex Environmental Services Inc.,"11/F Asian Star Bldg., Asean Dr., cor. Singapura Lane, Filinvest Corporate City, Alabang,Muntinlupa",Anne Manansala,Phil Gabions
,Inmed Corporation,Inmed Corporation,# 5 Calle Industria Brgy. Bagumbayan Pasig City,Rhea Suniga,571-1888
,I-NOVA,I-NOVA,10/F Netlima Bldg.5th Ave.cor.26th St.East Square Crescent Parkwest Bonifacio Global City Taguig,Anna Barbosa,669-2703 loc 2718
,Inova Pharmaceuticals,Inova Pharmaceuticals,Unit 2802 Penthouse 1 Global Place 26th st. cor 5th Ave. Bonifacio Global City taguig/ INSIDE,ms.ana riza barbosa,737-5100 local 2019/0917621-0855
,INS (IMMIGRATION NETWORK SERVICES,INS (IMMIGRATION NETWORK SERVICES,3rd Floor Vicente Madrigal Bldg. Ayala Avenue Makati City,Rovelyn/devine,891-5686/89 MAM DEVINE 891-59-22
,INTEGREON,INTEGREON,4/F 6750 Ayala Avenue Makati City/EVERY FRIDAY ONLY,Mr. Ronnie Serquina,819-3714
,Integrim,Integrim,11 floor eton cyber pod Centries Quezon City,Ms. Ruby,1
,Inter-Active,Inter-Active,# 16 Armal Compound Gate 1 M. Eusebio ave San Miguel Pasig,Ms. Carol Labrias,9223980376
,Intercen Pharma Inc,Intercen Pharma Inc,Suite 33C Second Flr. Midland Plaza Condominium Adriatico St. Ermita Manila/ SOUTH,Jeobert Bardulla,522-4303 /FOR COL. 522-4303
,International Bulk Com Handling,International Bulk Com Handling,704 Summit 1 Office Towers 530 Shaw Blvd. Mandaluyong City,Lita Dela Cruz,534-4112
,INTERSHADE COMMERCIAL INC.,INTERSHADE COMMERCIAL INC.,"#24 San Pablo St. Brgy. Kapitolyo, Pasig City",Mellie Bangcale,5210888
,INVESTWELL GROUP OF COMPANIES,INVESTWELL GROUP OF COMPANIES,Blk 14.Lot 24 SPDONMI Compd. Lawton Ave. Fort Bonifacio Taguig,Grace Su,836-8883/09178309899
,IOM Philippines,IOM Philippines,24/ F CITIBANK TOWER PASEO DE ROXAS ST. MAKATI CITY,Teresa Tejano,+63 2 230-1999 Ext. 1538/+ 63 927 5570427
,"IRIPPLE, INC.","IRIPPLE, INC.","2305 B. East Tower Phil. Stock Exchange, Exchange Rd.Ortigas Ctr, Origas, Pasig/ INSIDE-SOUTH",Barbi,687-4412 loc 306/ 687-9059 fax
,IVI RYO CORP.,IVI RYO CORP.,186 E Rodriguez Junior Ave. Bagungbayan Quezon City,Ms. Ada,655-8888
,I-ZAPP CEBU CORPORATION,I-ZAPP CEBU CORPORATION,"10th Floor Skyrise 2 Bldg.,IT Park Lahug Cebu City",None,none
,JA Jocson & Company,JA Jocson & Company,Room 710 Cityland Shaw Tower Shaw Blvd. cor Saint Francis Street Mandaluyong City,Grace Jocson,631-5115
,Jackson Pharmaceutical,Jackson Pharmaceutical,"Unit 44,4F Zeta Bldg.Salcedo St. Legaspi Village Makati City",Ms. Annabelle or Dia,519-7680/5055444
,Jacob International Equipment Company,Jacob International Equipment Company,"1267 J. Araneta , Santo Domingo, Quezon City",Kenneth,285-5984
,Jaguar Philippines Inc.,Jaguar Philippines Inc.,32nd Street and 4th Ave. Bonifacio Global City Taguig,Elline Arboleda,8562277
,JAKA INVESTMENTS CORPORATION,JAKA INVESTMENTS CORPORATION,"2111 JAKA CENTER BUILDING, CHINO ROCES AVENUE, PIO DEL PILA MAKATI CITY PH 1231",None,8935531 LOC317/09778231391
,JANASCAPE/ Ms. JANA DIPATUAN,JANASCAPE/ Ms. JANA DIPATUAN,No. 4A Lane 9 Caracas St. Intercity Homs Brgy. Cupang Muntinlupa City,Jana Dipatuan,0916-591-8251
,Jardine Lloyd Thompson Ins. Inc,Jardine Lloyd Thompson Ins. Inc,2nd flr. 111 Paseo De Roxas Bldg. Paseo De Roxas cor. Legaspi St. Legaspi Village Makati City,Jessica Santos,706-8500 /collection:706-8582/ Ms. Chona ROMERO-FFUP OF COLLECTION 706-8500
,JCJ MGT.SERVICES& INTL.PROMOTION,JCJ MGT.SERVICES& INTL.PROMOTION,4/F ROOM 400 FSE Building Bautista Street corner Dayap Street Palanan Makati/ WEST,Arlene,833-9321/550-1142
,JCL International Inc.,JCL International Inc.,"3/F SJG Center, 8463 Kalayaan Ave. corner Don Pedro St. Brgy. Poblacion, Makati City",Denim Sebreros,890 9788 / 89
,JECADES ENTERPRISES,JECADES ENTERPRISES,781- H. Leo Street Brgy.. 569 Zone 66 Sampaloc Manila/North,Carmille Dacles,521-8886/0977196064
,Jeron Travel & Tours,Jeron Travel & Tours,Ground Floor VM Tower 727 Roxas Boulivard Center Airport Road Baclaran Paranaque,Mishelle,854-1813
,Jinteri International Trading,Jinteri International Trading,#73 Brgy. Santo Domingo Simon St. Banawe Quezon CIty,Grace Ang,559-7766
,JNG Dragon Enterprise,JNG Dragon Enterprise,Unit 8 2nd Floor HS Veron Tri-Center Bldg.National Highway Brgy. Tagapo Sta. Rosa Laguna,Jun Espinoza,9505573570
,JS GALAN BUILDERS & TRADING,JS GALAN BUILDERS & TRADING,366 PANAMITAN KAWIT CAVITE,Joselito Galan,484-4594/0922-8980445
,JS UNITRADE MERCHANDISE INC.,JS UNITRADE MERCHANDISE INC.,20/F Marco Polo Hotel Sapphire Rd. Ortigas Center/ INSIDE-NORTH,Jing/ Estrela,916-1111 loc.809/808/828 COLLECTION WEDNESDAY 1-5PM
,July Mahilum,July Mahilum,"Lot 2 Blk 90 Karatig Road,Karangalan Village,Manggahan,Pasig City (Near MHOA)/ OUTSIDE",None,9178987915
,Kabayan Central Network,Kabayan Central Network,7 3rd St. brgy.Kapitolyo Pasig City,Dondon Cunanan,470-8215
,KAI INTERNATIONAL,KAI INTERNATIONAL,"Rm. 408 Dona Feliza Sejuco Bldg., Remedios cor Taft Ave., Malate Manila",Carol,3833057-Carol
,Kajima Philippines. Inc.,Kajima Philippines. Inc.,12 Flr. 6788 Ayala Ave. Makati City,Yukio Saito,632-8866818
,Kartonetwork Logistics Inc,Kartonetwork Logistics Inc,"#56 Sta. Cecillia St., San Antonio Valley 2, Paranaque City",Tess Tapalla,425-6525/ 5141321/7855332/09179810227/8471242
,Key design Inc.,Key design Inc.,"#24 San Pablo St. Brgy. Kapitolyo, Pasig City- OUTSIDE",Sir Freedom,631-9931 / fax -637-8010
,Keyman Insurance Agency,Keyman Insurance Agency,"#Unit1008 Tycoon Center, Pearl Drive, Ortigas Center, Pasig/ INSIDE-SOUTH",Jessica,4701964
,KITROL HOLDINGS INC.,KITROL HOLDINGS INC.,"Phividec Compound, Nabulod Baluarte, Tagoloan, Misamis Oriental",Elvie Ortiz,088-890-4289
,KOSTAT INC. CO.LTD,KOSTAT INC. CO.LTD,New Add: Unit 4 Orient Gold Crest Bldg. 149 East Ave. Phase 6-C Laguna Technopark SEZ Binan Laguna,Winna,0908-8600331/9178526548/ 809-3455 (every 1st week and 2nd of the month)
,Kuehne Nagel c/o San Maco Inc.,Kuehne Nagel c/o San Maco Inc.,5th Flr.Unit 501 Harbor Drive 5 Ecom Center Pacific Drive Extension Mall of Asia Complex Pasay,None,724-4955 / San Maco Inc.-820 4037/705-6100-kuehne
,LABELMEN ENTERPRISES,LABELMEN ENTERPRISES,"57 Shaw Blvd.,Mandaluyong City Landmark infront Tapat ng Jose rizal University Beside PS bank",Marlyn,531-9115-102
,Labmate Pharma Inc.,Labmate Pharma Inc.,"3F Jafer Bldg., 118 West Ave., Quezon City",Ms. Aiya / Mr. jay C,927-3211
,LAMOIYAN CORPORATION,LAMOIYAN CORPORATION,"Km. 15, West Service Road, South Super Hiway, Paranaque City(near Astra Zeneca)",Shirlee Reformado,823-8072 to 79( TREASURY: 104 )loc108 (FRIDAY)
,LAP GLOBAL CONSTRUCTION MANILA,LAP GLOBAL CONSTRUCTION MANILA,9B16 Victoria Tower Panay Avenu Quezon City,Ms. Leny Careng,0917-6241696
,Le Charm Enterprise,Le Charm Enterprise,"#6 Iraq St., Merville Subd., Paranaque City",PJ,819-9006
,LEADWAY CARGO LOGISTICS INC,LEADWAY CARGO LOGISTICS INC,Unit 5 2nd Floor SCG Bldg. Multinational Ave. Multinational Village Paranaque City,Analy Estapia,none
,LEADWELL INTERNATIONAL,LEADWELL INTERNATIONAL,Unit 209 Pacific Century Tower 1472-1476 Quezon Ave.South Triangle Quezon City,Karen,4143819/927-8623
,LEGACY UNLIMITED INC.,LEGACY UNLIMITED INC.,"# 1 Libongco Compound, J.P. Rizal St., Concepcion Marikina City",Catherine Santos,9484876/9416829
,Leon Gallery,Leon Gallery,"Ground Floor Eurovilla 1, Rufino corner Legazpi Street, Legazpi Village, Makati, 1224",Ms. Risa,8562781
,Life Links International Resources Inc.,Life Links International Resources Inc.,2nd Flr. Feron Bldg. 9590 Kamagong cor Bagtikan St. San Antonio Village Makati City,Sandra Pornias,815-0407/LOCAL 2204every friday
,Lifes Harbest Hydroponics,Lifes Harbest Hydroponics,No.2 Ilang Ilang St. Zone 1 Signal Village Taguig City,Jackie Vecino,542-7545/09166937053
,Litekon Buildtek Corporation,Litekon Buildtek Corporation,No.74 Apollo 4 Moonwalk Village Las Pinas,Ms. Cel/Ms.kyla,401-5714 ms.cel/802-2332local 501/8013062 Loc.504 AILEEN/EVERY FRIDAY FOR COLLECTION ONLY
,LIVE IT INVESTMENTS LTD.,LIVE IT INVESTMENTS LTD.,33rd flr. Tower 1 Ayala Triangle Ayala Avenue Makati City 1226,Ms. Ojie Sabado,908-33-58 loc 3352 cecile
,Living Earth Designs,Living Earth Designs,"#15 JASMINE ST, SOUTH GREEN PARK KM 18, Paranaque City",Lyanne Blanco,0917-3291836
,Local Governance Support program (LGSP),Local Governance Support program (LGSP),"25/F DILG-NAPOLCOM Center Edsa corner Quezon Ave, Quezon City",Carol Encinas,914-3708WRONG NUMBERS/0917-897-9193
,Lopez Museum Foundation,Lopez Museum Foundation,G/F Benpres Bldg. Exchange Road cor. Meralco Avenue Pasig City/ INSIDE-SOUTH,Ms. Fanny,631-2417
,Love My Nails Inc.,Love My Nails Inc.,4th Flr 150 GC Corporate Plaza Legaspi St. Legaspi Village Makati City,Tyron/Juliet,940-9592 loc. 217 (Cashier 405) ACCTG 221 every friday collections
,"LOXON PHILIPPINES, INC.","LOXON PHILIPPINES, INC.","324 Capt. Henry P. Javier St. Oranbo, Pasig City",None,470-3909
,LTL CONSULTANT,LTL CONSULTANT,"# 21 Conrado Benitez St., Cubao Quezon City/ SOUTH",Ms. Lalaine,727-6008
,LUCKY CIRCLE CORPORATION,LUCKY CIRCLE CORPORATION,No. 2 Banner St. cor Canley rd. Bagong Ilog Pasig City,None,654-4330/ 9985821173
,LUMINARE PRINTING & PUBLISHING CORP,LUMINARE PRINTING & PUBLISHING CORP,"8333 Dr. A. Santos Avenue, Paranaque City",Malou Dela Cruz,825-7764 / 825-8697-rachel/2383519
,Lunar Chem Trading,Lunar Chem Trading,1732 G. Tuazon St. cor. Vicente Cruz Sampaloc Manila/ NORTH,None,2614238
